customer_id,age,income,member_seniority,recency,frequency,monetary,view_rate,completion_rate,response_score,cluster,segment
cust_00001_46048,62,97000.0,774,668,7,108.44,1.0,1.0,1.0,1,Low Income  – Non-Active
cust_00002_21395,51,85000.0,1699,670,13,186.51,1.0,0.0,0.4,1,Low Income  – Non-Active
cust_00003_38657,65,57000.0,454,673,15,184.28,0.0,0.0,0.0,0,High Income – Active (Disc Preference)
cust_00004_81426,79,78000.0,1321,673,11,103.95,0.75,0.25,0.45000000000000007,1,Low Income  – Non-Active
cust_00005_10851,50,59000.0,1450,595,7,55.33,0.25,0.25,0.25,4,High Income – Promo Active (BOGO + Disc)
cust_00007_22676,50,76000.0,1349,681,15,200.55,1.0,1.0,1.0,1,Low Income  – Non-Active
cust_00008_15695,80,102000.0,760,711,11,252.6,1.0,0.5,0.7,1,Low Income  – Non-Active
cust_00009_48427,67,78000.0,126,539,4,68.91,0.6666666666666666,0.3333333333333333,0.4666666666666667,0,High Income – Active (Disc Preference)
cust_00010_57400,46,78000.0,1298,631,5,57.010000000000005,1.0,0.75,0.85,2,Mid Income  – Highly Active (Info Preference)
cust_00011_20458,63,81000.0,1112,422,3,38.09,0.6666666666666666,0.3333333333333333,0.4666666666666667,0,High Income – Active (Disc Preference)
cust_00012_46434,46,75000.0,518,692,3,24.020000000000003,0.5,0.0,0.2,0,High Income – Active (Disc Preference)
cust_00013_44993,46,80000.0,1744,650,7,71.84,0.5,0.0,0.2,0,High Income – Active (Disc Preference)
cust_00014_89840,58,75000.0,1338,528,5,53.82,1.0,0.6666666666666666,0.8,5,Low Income  – Non-Promo Inactive
cust_00015_93886,21,69000.0,1226,648,11,136.38,0.6666666666666666,0.3333333333333333,0.4666666666666667,5,Low Income  – Non-Promo Inactive
cust_00016_17331,24,50000.0,1458,535,5,37.48,0.5,0.0,0.2,4,High Income – Promo Active (BOGO + Disc)
cust_00017_84341,44,77000.0,548,700,9,90.6,0.6,0.6,0.6,1,Low Income  – Non-Active
cust_00018_75435,36,50000.0,1385,618,2,20.66,1.0,0.6666666666666666,0.8,5,Low Income  – Non-Promo Inactive
cust_00019_83579,59,78000.0,1013,686,4,68.97999999999999,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,High Income – Active (Disc Preference)
cust_00020_86484,38,81000.0,1704,701,10,138.85,0.4,0.4,0.4,1,Low Income  – Non-Active
cust_00021_16175,29,57000.0,1563,549,8,88.81,1.0,0.0,0.4,4,High Income – Promo Active (BOGO + Disc)
